,Country,AvgDR
0,Switzerland,2.4962433333333336
1,Iceland,2.6187
2,Denmark,2.5150466666666667
3,Norway,2.468996666666667
4,Canada,2.447956666666667
5,Finland,2.6252299999999997
6,Netherlands,2.4893300000000003
7,Sweden,2.33869
8,New Zealand,2.2620799999999996
9,Australia,2.2927233333333334
10,Israel,3.0668633333333335
11,Costa Rica,3.142533333333333
12,Austria,2.4550466666666666
13,Mexico,3.3327833333333334
14,United States,2.4853466666666666
15,Brazil,3.17887
16,Luxembourg,1.89989
17,Ireland,1.9698166666666665
18,Belgium,2.3842
19,United Arab Emirates,2.0657333333333336
20,United Kingdom,1.9413566666666666
22,Venezuela,2.651816666666667
23,Singapore,1.6983733333333333
24,Panama,2.720423333333333
25,Germany,2.21359
26,Chile,2.7134966666666664
27,Qatar,1.4281466666666667
28,France,2.230536666666667
29,Argentina,2.8599533333333333
30,Czech Republic,2.6972633333333333
31,Uruguay,2.388406666666667
32,Colombia,2.882716666666667
33,Thailand,2.3128533333333334
34,Saudi Arabia,2.37299
35,Spain,2.1493533333333334
36,Malta,1.7319933333333335
38,Kuwait,1.9325400000000001
40,Trinidad and Tobago,2.27867
41,El Salvador,2.9903099999999996
42,Guatemala,2.9450233333333333
43,Uzbekistan,2.133566666666667
44,Slovakia,2.3182733333333334
45,Japan,1.6178033333333335
46,South Korea,2.1501033333333335
47,Ecuador,2.5344766666666665
48,Bahrain,1.88939
49,Italy,2.062556666666667
50,Bolivia,2.7276566666666664
51,Moldova,3.098333333333333
52,Paraguay,2.0117333333333334
53,Kazakhstan,2.175143333333333
54,Slovenia,1.5747900000000001
55,Lithuania,2.4267266666666667
56,Nicaragua,2.5540933333333333
57,Peru,2.51098
58,Belarus,2.0799833333333333
59,Poland,1.9545733333333333
60,Malaysia,2.0812333333333335
61,Croatia,2.3777500000000003
62,Libya,2.1064700000000003
63,Russia,2.3569
64,Jamaica,2.09651
65,North Cyprus,1.69417
66,Cyprus,1.8518433333333333
67,Algeria,2.8029100000000002
68,Kosovo,2.52877
69,Turkmenistan,1.972546666666667
70,Mauritius,1.8870866666666668
72,Estonia,1.5883933333333333
73,Indonesia,1.7750599999999999
74,Vietnam,1.8686166666666668
75,Turkey,2.0851
76,Kyrgyzstan,2.0169266666666665
77,Nigeria,2.7148133333333333
78,Bhutan,1.5357599999999998
79,Azerbaijan,2.0122366666666665
80,Pakistan,3.0274799999999993
81,Jordan,1.95752
82,Montenegro,2.0282233333333335
83,China,1.9320700000000002
84,Zambia,2.350306666666667
85,Romania,2.186653333333333
86,Serbia,2.08249
87,Portugal,1.3008166666666667
88,Latvia,1.9414666666666667
89,Philippines,1.9870133333333335
91,Morocco,2.6196099999999998
92,Macedonia,1.8154233333333334
94,Albania,1.7725133333333334
95,Bosnia and Herzegovina,2.1466333333333334
97,Dominican Republic,1.4095933333333335
99,Mongolia,1.33158
101,Greece,1.8932233333333335
102,Lebanon,1.7796833333333335
103,Hungary,1.63731
104,Honduras,2.0684666666666667
105,Tajikistan,2.1180333333333334
106,Tunisia,2.2330133333333335
107,Palestinian Territories,2.1087900000000004
108,Bangladesh,2.3684833333333333
109,Iran,1.7304333333333333
110,Ukraine,1.29548
111,Iraq,1.6962766666666667
112,South Africa,1.6242466666666668
113,Ghana,2.0290866666666667
114,Zimbabwe,2.16086
115,Liberia,2.2278066666666665
116,India,1.9915233333333333
117,Sudan,2.001863333333333
118,Haiti,2.103353333333333
119,Congo (Kinshasa),2.613773333333333
120,Nepal,2.0581833333333335
121,Ethiopia,2.373546666666667
122,Sierra Leone,2.7308566666666665
123,Mauritania,1.8985566666666667
124,Kenya,1.77357
126,Armenia,1.7529566666666667
127,Botswana,0.9357099999999999
128,Myanmar,1.34663
129,Georgia,1.6552866666666668
130,Malawi,2.572763333333333
131,Sri Lanka,0.6690933333333334
132,Cameroon,2.268053333333333
133,Bulgaria,1.0166066666666667
134,Egypt,1.7567933333333334
135,Yemen,1.7472266666666665
136,Angola,1.8861533333333333
137,Mali,1.85733
138,Congo (Brazzaville),1.8374333333333333
140,Uganda,1.4893933333333333
141,Senegal,1.7374033333333332
142,Gabon,1.2583966666666668
143,Niger,1.9491466666666668
144,Cambodia,1.1135400000000002
145,Tanzania,1.1265366666666667
146,Madagascar,1.8621199999999998
148,Chad,2.106856666666667
149,Guinea,1.9000233333333334
150,Ivory Coast,1.7456566666666664
151,Burkina Faso,1.6884466666666664
152,Afghanistan,2.082826666666666
153,Rwanda,0.7262233333333333
154,Benin,1.8756766666666664
155,Syria,0.7360133333333332
156,Burundi,1.87336
157,Togo,1.84663
