,Country,2015 Score,2016 Score,2017 Score
0,Switzerland,7.587,7.509,7.494
1,Iceland,7.561,7.501,7.504
2,Denmark,7.527,7.526,7.522
3,Norway,7.522,7.498,7.537
4,Canada,7.427,7.404,7.316
5,Finland,7.406,7.413,7.469
6,Netherlands,7.378,7.339,7.377
7,Sweden,7.364,7.291,7.284
8,New Zealand,7.286,7.334,7.314
9,Australia,7.284,7.313,7.284
10,Israel,7.278,7.267,7.213
11,Costa Rica,7.226,7.087,7.079
12,Austria,7.2,7.119,7.006
13,Mexico,7.187,6.778,6.578
14,United States,7.119,7.104,6.993
15,Brazil,6.983,6.952,6.635
16,Luxembourg,6.946,6.871,6.863
17,Ireland,6.94,6.907,6.977
18,Belgium,6.937,6.929,6.891
19,United Arab Emirates,6.901,6.573,6.648
20,United Kingdom,6.867,6.725,6.714
22,Venezuela,6.81,6.084,5.25
23,Singapore,6.798,6.739,6.572
24,Panama,6.786,6.701,6.452
25,Germany,6.75,6.994,6.951
26,Chile,6.67,6.705,6.652
27,Qatar,6.611,6.375,6.375
28,France,6.575,6.478,6.442
29,Argentina,6.574,6.65,6.599
30,Czech Republic,6.505,6.596,6.609
31,Uruguay,6.485,6.545,6.454
32,Colombia,6.477,6.481,6.357
33,Thailand,6.455,6.474,6.424
34,Saudi Arabia,6.411,6.379,6.344
35,Spain,6.329,6.361,6.403
36,Malta,6.302,6.488,6.527
38,Kuwait,6.295,6.239,6.105
40,Trinidad and Tobago,6.168,6.168,6.168
41,El Salvador,6.13,6.068,6.003
42,Guatemala,6.123,6.324,6.454
43,Uzbekistan,6.003,5.987,5.971
44,Slovakia,5.995,6.078,6.098
45,Japan,5.987,5.921,5.92
46,South Korea,5.984,5.835,5.838
47,Ecuador,5.975,5.976,6.008
48,Bahrain,5.96,6.218,6.087
49,Italy,5.948,5.977,5.964
50,Bolivia,5.89,5.822,5.823
51,Moldova,5.889,5.897,5.838
52,Paraguay,5.878,5.538,5.493
53,Kazakhstan,5.855,5.919,5.819
54,Slovenia,5.848,5.768,5.758
55,Lithuania,5.833,5.813,5.902
56,Nicaragua,5.828,5.992,6.071
57,Peru,5.824,5.743,5.715
58,Belarus,5.813,5.802,5.569
59,Poland,5.791,5.835,5.973
60,Malaysia,5.77,6.005,6.084
61,Croatia,5.759,5.488,5.293
62,Libya,5.754,5.615,5.525
63,Russia,5.716,5.856,5.963
64,Jamaica,5.709,5.51,5.311
65,North Cyprus,5.695,5.771,5.81
66,Cyprus,5.689,5.546,5.621
67,Algeria,5.605,6.355,5.872
68,Kosovo,5.589,5.401,5.279
69,Turkmenistan,5.548,5.658,5.822
70,Mauritius,5.477,5.648,5.629
72,Estonia,5.429,5.517,5.611
73,Indonesia,5.399,5.314,5.262
74,Vietnam,5.36,5.061,5.074
75,Turkey,5.332,5.389,5.5
76,Kyrgyzstan,5.286,5.185,5.004
77,Nigeria,5.268,4.875,5.074
78,Bhutan,5.253,5.196,5.011
79,Azerbaijan,5.212,5.291,5.234
80,Pakistan,5.194,5.132,5.269
81,Jordan,5.192,5.303,5.336
82,Montenegro,5.192,5.161,5.237
83,China,5.14,5.245,5.273
84,Zambia,5.129,4.795,4.514
85,Romania,5.124,5.528,5.825
86,Serbia,5.123,5.177,5.395
87,Portugal,5.102,5.123,5.195
88,Latvia,5.098,5.56,5.85
89,Philippines,5.073,5.279,5.43
91,Morocco,5.013,5.151,5.235
92,Macedonia,5.007,5.121,5.175
94,Albania,4.959,4.655,4.644
95,Bosnia and Herzegovina,4.949,5.163,5.182
97,Dominican Republic,4.885,5.155,5.23
99,Mongolia,4.874,4.907,4.955
101,Greece,4.857,5.033,5.227
102,Lebanon,4.839,5.129,5.225
103,Hungary,4.8,5.145,5.324
104,Honduras,4.788,4.871,5.181
105,Tajikistan,4.786,4.996,5.041
106,Tunisia,4.739,5.045,4.805
107,Palestinian Territories,4.715,4.754,4.775
108,Bangladesh,4.694,4.643,4.608
109,Iran,4.686,4.813,4.692
110,Ukraine,4.681,4.324,4.096
111,Iraq,4.677,4.575,4.497
112,South Africa,4.642,4.459,4.829
113,Ghana,4.633,4.276,4.12
114,Zimbabwe,4.61,4.193,3.875
115,Liberia,4.571,3.622,3.533
116,India,4.565,4.404,4.315
117,Sudan,4.55,4.139,4.139
118,Haiti,4.518,4.028,3.603
119,Congo (Kinshasa),4.517,4.272,4.28
120,Nepal,4.514,4.793,4.962
121,Ethiopia,4.512,4.508,4.46
122,Sierra Leone,4.507,4.635,4.709
123,Mauritania,4.436,4.201,4.292
124,Kenya,4.419,4.356,4.553
126,Armenia,4.35,4.36,4.376
127,Botswana,4.332,3.974,3.766
128,Myanmar,4.307,4.395,4.545
129,Georgia,4.297,4.252,4.286
130,Malawi,4.292,4.156,3.97
131,Sri Lanka,4.271,4.415,4.44
132,Cameroon,4.252,4.513,4.695
133,Bulgaria,4.218,4.217,4.714
134,Egypt,4.194,4.362,4.735
135,Yemen,4.077,3.724,3.593
136,Angola,4.033,3.866,3.795
137,Mali,3.995,4.073,4.19
138,Congo (Brazzaville),3.989,4.236,4.291
140,Uganda,3.931,3.739,4.081
141,Senegal,3.904,4.219,4.535
142,Gabon,3.896,4.121,4.465
143,Niger,3.845,3.856,4.028
144,Cambodia,3.819,3.907,4.168
145,Tanzania,3.781,3.666,3.349
146,Madagascar,3.681,3.695,3.644
148,Chad,3.667,3.763,3.936
149,Guinea,3.656,3.607,3.507
150,Ivory Coast,3.655,3.916,4.18
151,Burkina Faso,3.587,3.739,4.032
152,Afghanistan,3.575,3.36,3.794
153,Rwanda,3.465,3.515,3.471
154,Benin,3.34,3.484,3.657
155,Syria,3.006,3.069,3.462
156,Burundi,2.905,2.905,2.905
157,Togo,2.839,3.303,3.495
