,Country,2015 Rank,2015 HS,15Free,2015 DysRes,2016 Rank,2016 HS,16Free,2016 DysRes,2017 Rank,2017 HS,17Free,2017 DysRes
0,Switzerland,1,7.587,0.66557,2.51738,2.0,7.509,0.58557,2.69463,4.0,7.494,0.62007,2.27672
1,Iceland,2,7.561,0.62877,2.70201,3.0,7.501,0.56624,2.83137,3.0,7.504,0.62716,2.32272
2,Denmark,3,7.527,0.64938,2.49204,1.0,7.526,0.57941,2.73939,2.0,7.522,0.62601,2.31371
3,Norway,4,7.522,0.66973,2.46531,4.0,7.498,0.59609,2.66465,1.0,7.537,0.63542,2.27703
4,Canada,5,7.427,0.63297,2.45176,6.0,7.404,0.5737,2.70485,7.0,7.316,0.6111,2.18726
5,Finland,6,7.406,0.64169,2.61955,5.0,7.413,0.57104,2.82596,5.0,7.469,0.61795,2.43018
6,Netherlands,7,7.378,0.61576,2.4657,7.0,7.339,0.55211,2.70749,6.0,7.377,0.58538,2.2948
7,Sweden,8,7.364,0.6598,2.37119,10.0,7.291,0.58218,2.54734,9.0,7.284,0.61292,2.09754
8,New Zealand,9,7.286,0.63938,2.26425,8.0,7.334,0.58147,2.47553,8.0,7.314,0.61406,2.04646
9,Australia,10,7.284,0.65124,2.26646,9.0,7.313,0.56837,2.5465,10.0,7.284,0.60161,2.06521
10,Israel,11,7.278,0.41319,3.08854,11.0,7.267,0.36432,3.31029,11.0,7.213,0.40599,2.80176
11,Costa Rica,12,7.226,0.63376,3.17728,14.0,7.087,0.55225,3.35168,12.0,7.079,0.58013,2.89864
12,Austria,13,7.2,0.62433,2.5332,12.0,7.119,0.54355,2.69343,13.0,7.006,0.56777,2.13851
13,Mexico,14,7.187,0.48181,3.60214,21.0,6.778,0.37709,3.55906,25.0,6.578,0.41273,2.83715
14,United States,15,7.119,0.54604,2.51011,13.0,7.104,0.48163,2.72782,14.0,6.993,0.50574,2.21811
15,Brazil,16,6.983,0.49049,3.26001,17.0,6.952,0.40425,3.50733,22.0,6.635,0.43745,2.76927
16,Luxembourg,17,6.946,0.61583,1.96961,20.0,6.871,0.5487,2.11055,18.0,6.863,0.59663,1.61951
17,Ireland,18,6.94,0.61777,1.9757,19.0,6.907,0.54008,2.15988,15.0,6.977,0.57311,1.77387
18,Belgium,19,6.937,0.5845,2.41484,18.0,6.929,0.51354,2.61355,17.0,6.891,0.53977,2.12421
19,United Arab Emirates,20,6.901,0.64157,2.24743,28.0,6.573,0.56215,2.21507,21.0,6.648,0.60835,1.7347
20,United Kingdom,21,6.867,0.59625,1.96994,23.0,6.725,0.50036,2.14999,19.0,6.714,0.50819,1.70414
22,Venezuela,23,6.81,0.42908,3.19131,44.0,6.084,0.19847,2.97468,82.0,5.25,0.154,1.78946
23,Singapore,24,6.798,0.54252,1.88501,22.0,6.739,0.4877,1.99375,26.0,6.572,0.54984,1.21636
24,Panama,25,6.786,0.5421,2.84848,25.0,6.701,0.48927,3.00559,30.0,6.452,0.55003,2.3072
25,Germany,26,6.75,0.61477,2.11569,16.0,6.994,0.53466,2.50931,16.0,6.951,0.56251,2.01577
26,Chile,27,6.67,0.44132,2.67585,24.0,6.705,0.37789,2.95505,20.0,6.652,0.3769,2.50959
27,Qatar,28,6.611,0.6404,1.55674,36.0,6.375,0.56679,1.58224,35.0,6.375,0.60413,1.14546
28,France,29,6.575,0.55011,2.21126,32.0,6.478,0.46562,2.4744,31.0,6.442,0.47022,2.00595
29,Argentina,30,6.574,0.44974,2.836,26.0,6.65,0.42284,3.12985,24.0,6.599,0.49452,2.61401
30,Czech Republic,31,6.505,0.46364,2.67782,27.0,6.596,0.41418,2.96211,23.0,6.609,0.49095,2.45186
31,Uruguay,32,6.485,0.60362,2.32142,29.0,6.545,0.54388,2.67139,28.0,6.454,0.57939,2.17241
32,Colombia,33,6.477,0.53466,2.85737,31.0,6.481,0.44735,3.17471,36.0,6.357,0.47749,2.61607
33,Thailand,34,6.455,0.55664,2.31945,33.0,6.474,0.49553,2.5796,32.0,6.424,0.5802,2.03951
34,Saudi Arabia,35,6.411,0.31048,2.43872,34.0,6.379,0.37904,2.61482,37.0,6.344,0.44975,2.06543
35,Spain,36,6.329,0.45951,2.12367,37.0,6.361,0.37545,2.39663,34.0,6.403,0.40878,1.92776
36,Malta,37,6.302,0.60365,1.6488,30.0,6.488,0.54994,1.99032,27.0,6.527,0.58877,1.55686
38,Kuwait,39,6.295,0.55499,1.87634,41.0,6.239,0.43166,2.28085,39.0,6.105,0.49634,1.64043
40,Trinidad and Tobago,41,6.168,0.55884,2.26882,43.0,6.168,0.48453,2.51394,38.0,6.168,0.51863,2.05325
41,El Salvador,42,6.13,0.4035,3.035,46.0,6.068,0.37269,3.22134,45.0,6.003,0.43245,2.71459
42,Guatemala,43,6.123,0.57733,2.74255,39.0,6.324,0.50379,3.19863,29.0,6.454,0.53131,2.89389
43,Uzbekistan,44,6.003,0.65821,2.23741,49.0,5.987,0.60848,2.34638,47.0,5.971,0.65825,1.81691
44,Slovakia,45,5.995,0.31751,2.24639,45.0,6.078,0.23391,2.61065,40.0,6.098,0.29582,2.09778
45,Japan,46,5.987,0.49615,1.68435,53.0,5.921,0.46761,1.80584,51.0,5.92,0.50563,1.36322
46,South Korea,47,5.984,0.33208,2.21978,57.0,5.835,0.25168,2.35015,55.0,5.838,0.25792,1.88038
47,Ecuador,48,5.975,0.48574,2.53942,51.0,5.976,0.4027,2.77366,44.0,6.008,0.4552,2.29035
48,Bahrain,49,5.96,0.45492,1.73797,42.0,6.218,0.47375,2.27405,41.0,6.087,0.53675,1.65615
49,Italy,50,5.948,0.26236,2.02518,50.0,5.977,0.18827,2.34918,48.0,5.964,0.25645,1.81331
50,Bolivia,51,5.89,0.57414,2.82334,59.0,5.822,0.50961,2.91635,58.0,5.823,0.55873,2.44328
51,Moldova,52,5.889,0.32818,3.10712,55.0,5.897,0.25202,3.38007,56.0,5.838,0.24073,2.80781
52,Paraguay,53,5.878,0.53899,2.18896,70.0,5.538,0.46235,2.16091,70.0,5.493,0.47351,1.68533
53,Kazakhstan,54,5.855,0.51649,2.24729,54.0,5.919,0.4052,2.49325,60.0,5.819,0.43745,1.78489
54,Slovenia,55,5.848,0.60855,1.61583,63.0,5.768,0.53164,1.79522,62.0,5.758,0.57258,1.31332
55,Lithuania,56,5.833,0.21342,2.44649,60.0,5.813,0.18929,2.60525,52.0,5.902,0.23423,2.22844
56,Nicaragua,57,5.828,0.55475,2.32407,48.0,5.992,0.46582,2.82428,43.0,6.071,0.44755,2.51393
57,Peru,58,5.824,0.41496,2.5945,64.0,5.743,0.37502,2.73117,63.0,5.715,0.45,2.20727
58,Belarus,59,5.813,0.37938,2.1309,61.0,5.802,0.29091,2.38582,67.0,5.569,0.2954,1.72323
59,Poland,60,5.791,0.53122,1.86565,57.0,5.835,0.4519,2.20035,46.0,5.973,0.52034,1.79772
60,Malaysia,61,5.77,0.53024,1.88541,47.0,6.005,0.39031,2.35384,42.0,6.084,0.40226,2.00445
61,Croatia,62,5.759,0.25883,2.75414,74.0,5.488,0.23907,2.52462,77.0,5.293,0.25577,1.85449
62,Libya,63,5.754,0.41668,2.09066,67.0,5.615,0.40672,2.39374,68.0,5.525,0.46573,1.83501
63,Russia,64,5.716,0.36679,2.27394,56.0,5.856,0.32682,2.59115,49.0,5.963,0.37378,2.20561
64,Jamaica,65,5.709,0.50442,2.32038,73.0,5.51,0.43597,2.35682,76.0,5.311,0.47431,1.61233
65,North Cyprus,66,5.695,0.49027,1.59888,62.0,5.771,0.43596,1.93447,61.0,5.81,0.4712,1.54916
66,Cyprus,67,5.689,0.40672,1.88931,69.0,5.546,0.29507,2.04497,65.0,5.621,0.35511,1.62125
67,Algeria,68,5.605,0.28579,2.43209,38.0,6.355,0.21006,3.40904,53.0,5.872,0.23334,2.5676
68,Kosovo,69,5.589,0.24749,2.76579,77.0,5.401,0.14396,2.80998,78.0,5.279,0.26029,2.01054
69,Turkmenistan,70,5.548,0.4761,1.86984,65.0,5.658,0.37408,2.21489,59.0,5.822,0.41827,1.83291
70,Mauritius,71,5.477,0.56066,1.76145,66.0,5.648,0.46145,2.20223,64.0,5.629,0.49125,1.69758
72,Estonia,73,5.429,0.44888,1.58782,72.0,5.517,0.41511,1.81985,66.0,5.611,0.47913,1.35751
73,Indonesia,74,5.399,0.46611,1.86399,79.0,5.314,0.39237,2.03171,81.0,5.262,0.44332,1.42948
74,Vietnam,75,5.36,0.59444,2.20173,96.0,5.061,0.55954,1.9418,94.0,5.074,0.57106,1.46232
75,Turkey,76,5.332,0.22815,2.08528,78.0,5.389,0.23889,2.29074,69.0,5.5,0.30074,1.87928
76,Kyrgyzstan,77,5.286,0.43477,2.2327,85.0,5.185,0.40212,2.28136,98.0,5.004,0.45494,1.53672
77,Nigeria,78,5.268,0.34334,2.89319,103.0,4.875,0.27854,2.88586,95.0,5.074,0.39495,2.36539
78,Bhutan,79,5.253,0.53206,1.63794,84.0,5.196,0.46074,1.82916,97.0,5.011,0.50154,1.14018
79,Azerbaijan,80,5.212,0.3703,2.00073,81.0,5.291,0.35327,2.2735,85.0,5.234,0.39816,1.76248
80,Pakistan,81,5.194,0.12102,3.10709,92.0,5.132,0.14622,3.18286,80.0,5.269,0.23522,2.79249
81,Jordan,82,5.192,0.40661,1.87996,80.0,5.303,0.36023,2.20142,74.0,5.336,0.41842,1.79118
82,Montenegro,82,5.192,0.1826,2.10017,88.0,5.161,0.15111,2.25531,83.0,5.237,0.19499,1.72919
83,China,84,5.14,0.51697,1.8604,83.0,5.245,0.44012,2.17087,79.0,5.273,0.47279,1.76494
84,Zambia,85,5.129,0.48827,2.6343,106.0,4.795,0.42662,2.58991,116.0,4.514,0.4616,1.82671
85,Romania,86,5.124,0.35068,1.93129,71.0,5.528,0.36712,2.45184,57.0,5.825,0.457,2.17683
86,Serbia,87,5.123,0.20107,2.025,86.0,5.177,0.15718,2.27539,73.0,5.395,0.20872,1.94708
87,Portugal,88,5.102,0.51469,1.26462,94.0,5.123,0.44727,1.53015,89.0,5.195,0.49847,1.10768
88,Latvia,89,5.098,0.29671,1.62215,68.0,5.56,0.27996,2.20859,54.0,5.85,0.32571,1.99366
89,Philippines,90,5.073,0.62545,1.7536,82.0,5.279,0.54854,2.23484,72.0,5.43,0.58521,1.9726
91,Morocco,92,5.013,0.41691,2.45373,90.0,5.151,0.25646,2.94891,84.0,5.235,0.40816,2.45619
92,Macedonia,93,5.007,0.33457,1.73933,95.0,5.121,0.27668,2.08947,92.0,5.175,0.32591,1.61747
94,Albania,95,4.959,0.35733,1.89894,109.0,4.655,0.31866,1.92816,109.0,4.644,0.3815,1.49044
95,Bosnia and Herzegovina,96,4.949,0.09245,2.06367,87.0,5.163,0.09511,2.48406,90.0,5.182,0.2044,1.89217
97,Dominican Republic,98,4.885,0.57672,1.21305,89.0,5.155,0.52259,1.69626,86.0,5.23,0.55259,1.31947
99,Mongolia,100,4.874,0.43626,1.34759,101.0,4.907,0.35972,1.53586,100.0,4.955,0.39414,1.11129
101,Greece,102,4.857,0.07699,1.80101,99.0,5.033,0.05822,2.12944,87.0,5.227,0.09573,1.74922
102,Lebanon,103,4.839,0.33916,1.57059,93.0,5.129,0.26228,2.07339,88.0,5.225,0.28852,1.69507
103,Hungary,104,4.8,0.32112,1.24074,91.0,5.145,0.1977,1.95473,75.0,5.324,0.17586,1.71646
104,Honduras,105,4.788,0.40148,1.84408,104.0,4.871,0.26755,2.29551,91.0,5.181,0.34808,2.06581
105,Tajikistan,106,4.786,0.47216,2.11399,100.0,4.996,0.43408,2.39106,96.0,5.041,0.47157,1.84905
106,Tunisia,107,4.739,0.26268,2.12466,98.0,5.045,0.23553,2.68413,102.0,4.805,0.28968,1.89025
107,Palestinian Territories,108,4.715,0.24499,2.04384,108.0,4.754,0.17744,2.40364,103.0,4.775,0.25471,1.87889
