Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Norway,1,7.537,1.61646,1.53352,0.79667,0.63542,0.31596,0.36201,2.27703
Denmark,2,7.522,1.48238,1.55112,0.79257,0.62601,0.40077,0.35528,2.31371
Iceland,3,7.504,1.48063,1.61057,0.83355,0.62716,0.15353,0.47554,2.32272
Switzerland,4,7.494,1.56498,1.51691,0.85813,0.62007,0.36701,0.29055,2.27672
Finland,5,7.469,1.44357,1.54025,0.80916,0.61795,0.38261,0.24548,2.43018
Netherlands,6,7.377,1.50394,1.42894,0.81070,0.58538,0.28266,0.47049,2.29480
Canada,7,7.316,1.47920,1.48135,0.83456,0.61110,0.28737,0.43554,2.18726
New Zealand,8,7.314,1.40571,1.54820,0.81676,0.61406,0.38282,0.50001,2.04646
Sweden,9,7.284,1.49439,1.47816,0.83088,0.61292,0.38440,0.38540,2.09754
Australia,10,7.284,1.48441,1.51004,0.84389,0.60161,0.30118,0.47770,2.06521
Israel,11,7.213,1.37538,1.37629,0.83840,0.40599,0.08524,0.33008,2.80176
Costa Rica,12,7.079,1.10971,1.41640,0.75951,0.58013,0.10011,0.21461,2.89864
Austria,13,7.006,1.48710,1.45994,0.81533,0.56777,0.22106,0.31647,2.13851
United States,14,6.993,1.54626,1.41992,0.77429,0.50574,0.13564,0.39258,2.21811
Ireland,15,6.977,1.53571,1.55823,0.80978,0.57311,0.29839,0.42786,1.77387
Germany,16,6.951,1.48792,1.47252,0.79895,0.56251,0.27673,0.33627,2.01577
Belgium,17,6.891,1.46378,1.46231,0.81809,0.53977,0.25134,0.23150,2.12421
Luxembourg,18,6.863,1.74194,1.45758,0.84509,0.59663,0.31883,0.28318,1.61951
United Kingdom,19,6.714,1.44163,1.49646,0.80534,0.50819,0.26543,0.49277,1.70414
Chile,20,6.652,1.25278,1.28402,0.81948,0.37690,0.08229,0.32666,2.50959
United Arab Emirates,21,6.648,1.62634,1.26641,0.72680,0.60835,0.32449,0.36094,1.73470
Brazil,22,6.635,1.10735,1.43131,0.61655,0.43745,0.11109,0.16235,2.76927
Czech Republic,23,6.609,1.35268,1.43389,0.75444,0.49095,0.03687,0.08811,2.45186
Argentina,24,6.599,1.18530,1.44045,0.69514,0.49452,0.05974,0.10946,2.61401
Mexico,25,6.578,1.15318,1.21086,0.70998,0.41273,0.13277,0.12099,2.83715
Singapore,26,6.572,1.69228,1.35381,0.94949,0.54984,0.46431,0.34597,1.21636
Malta,27,6.527,1.34328,1.48841,0.82194,0.58877,0.15307,0.57473,1.55686
Uruguay,28,6.454,1.21756,1.41223,0.71922,0.57939,0.17806,0.17510,2.17241
Guatemala,29,6.454,0.87200,1.25559,0.54024,0.53131,0.07722,0.28349,2.89389
Panama,30,6.452,1.23375,1.37319,0.70616,0.55003,0.07098,0.21056,2.30720
France,31,6.442,1.43092,1.38778,0.84447,0.47022,0.17250,0.12976,2.00595
Thailand,32,6.424,1.12787,1.42579,0.64724,0.58020,0.03161,0.57212,2.03951
Taiwan Province of China,33,6.422,1.43363,1.38457,0.79398,0.36147,0.06383,0.25836,2.12661
Spain,34,6.403,1.38440,1.53209,0.88896,0.40878,0.07091,0.19013,1.92776
Qatar,35,6.375,1.87077,1.27430,0.71010,0.60413,0.43930,0.33047,1.14546
Colombia,36,6.357,1.07062,1.40218,0.59503,0.47749,0.04667,0.14901,2.61607
